File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_030215845.1_ASM3021584v1_genomic.gbff.gz,"Klebsiella michiganensis strain UMB8372 NODE_100_length_1287_cov_49.202479, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030216235.1_ASM3021623v1_genomic.gbff.gz,"Klebsiella grimontii strain UMB8064 NODE_100_length_629_cov_0.815217, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030225535.1_ASM3022553v1_genomic.gbff.gz,"Klebsiella oxytoca strain UMB10483 NODE_100_length_295_cov_0.605505, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030225565.1_ASM3022556v1_genomic.gbff.gz,"Klebsiella michiganensis strain UMB9553 NODE_100_length_2272_cov_31.025968, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030225605.1_ASM3022560v1_genomic.gbff.gz,"Klebsiella oxytoca strain UMB9210B NODE_100_length_313_cov_13.457627, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030225715.1_ASM3022571v1_genomic.gbff.gz,"Klebsiella oxytoca strain UMB10500 NODE_100_length_290_cov_64.464789, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030248395.1_ASM3024839v1_genomic.gbff.gz,"Klebsiella michiganensis strain ETN19 1, whole genome shotgun sequence",8,,8,0,1
GCF_030283225.1_ASM3028322v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO453 contig_1, whole genome shotgun sequence",8,,6,2,2
GCF_030283425.1_ASM3028342v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO404 contig_1, whole genome shotgun sequence",8,,4,4,2
GCF_030283905.1_ASM3028390v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO282 contig_1, whole genome shotgun sequence",8,,6,2,2
GCF_030286175.1_ASM3028617v1_genomic.gbff.gz,"Klebsiella michiganensis strain UTM00027 chromosome, whole genome shotgun sequence",8,,8,0,1
GCF_030291695.1_ASM3029169v1_genomic.gbff.gz,"Klebsiella michiganensis strain ELP1.34B chromosome, complete genome",8,,8,0,1
GCF_030294205.1_ASM3029420v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO595 CPO595_contig_1, whole genome shotgun sequence",8,,6,2,2
GCF_030294285.1_ASM3029428v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO266 1, whole genome shotgun sequence",8,,8,0,2
GCF_030294485.1_ASM3029448v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO433 1, whole genome shotgun sequence",8,,4,4,2
GCF_030342765.1_ASM3034276v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7406_19 NODE_100_length_473_cov_104.447977, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342775.1_ASM3034277v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6955_19 NODE_100_length_1389_cov_144.931062, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342805.1_ASM3034280v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI10340_19 NODE_103_length_416_cov_54.833910, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342845.1_ASM3034284v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI10279_19 NODE_100_length_385_cov_8.686047, whole genome shotgun sequence",1,,1,0,1
GCF_030342865.1_ASM3034286v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7512_19 NODE_100_length_1415_cov_16.305124, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342875.1_ASM3034287v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI10246_19 NODE_100_length_913_cov_69.092875, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342905.1_ASM3034290v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI10316_19 NODE_100_length_383_cov_39.238281, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342925.1_ASM3034292v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI9543_19 NODE_100_length_1338_cov_227.218827, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342935.1_ASM3034293v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI8545_19 NODE_100_length_1233_cov_39.122061, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342985.1_ASM3034298v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI8015_19 NODE_100_length_1085_cov_64.930063, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030342995.1_ASM3034299v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6337_19 NODE_100_length_1859_cov_35.504619, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343045.1_ASM3034304v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI253_19 NODE_103_length_467_cov_88.885294, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343045.2_ASM3034304v2_genomic.gbff.gz,"Klebsiella oxytoca strain NMI253_19 1, whole genome shotgun sequence",8,,8,0,1
GCF_030343055.1_ASM3034305v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI768_19 NODE_105_length_445_cov_57.371069, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343095.1_ASM3034309v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI221_19 NODE_100_length_1499_cov_294.878280, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343105.1_ASM3034310v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI1636_19 NODE_100_length_1412_cov_181.557977, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343165.1_ASM3034316v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7904_18 NODE_100_length_1336_cov_143.634409, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343185.1_ASM3034318v1_genomic.gbff.gz,"Klebsiella pasteurii strain NMI6490_18 NODE_101_length_623_cov_171.258065, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343205.1_ASM3034320v1_genomic.gbff.gz,"Klebsiella spallanzanii strain NMI7090_18 NODE_10_length_226237_cov_57.890748, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343225.1_ASM3034322v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7702_18 NODE_100_length_1427_cov_31.366154, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343235.1_ASM3034323v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7009_18 NODE_100_length_763_cov_149.385220, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343265.1_ASM3034326v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6107_18 NODE_101_length_773_cov_47.746130, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343285.1_ASM3034328v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4759_17 NODE_100_length_1427_cov_28.606923, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343295.1_ASM3034329v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5439_18 NODE_100_length_1415_cov_37.317547, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343325.1_ASM3034332v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI388_18 NODE_100_length_255_cov_80.640625, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343345.1_ASM3034334v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2437_18 NODE_100_length_2977_cov_73.029123, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343365.1_ASM3034336v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI905_17 NODE_100_length_1542_cov_41.758304, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343375.1_ASM3034337v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2383_18 NODE_100_length_1504_cov_35.440087, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343405.1_ASM3034340v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI8275_17 NODE_100_length_248_cov_76.264463, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343425.1_ASM3034342v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5947_17 NODE_100_length_1542_cov_38.708127, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343445.1_ASM3034344v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6676_17 NODE_100_length_1443_cov_239.951368, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343465.1_ASM3034346v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6751_17 NODE_100_length_632_cov_82.615842, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343485.1_ASM3034348v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5438_18 NODE_100_length_646_cov_278.447013, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343495.1_ASM3034349v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI460_17 NODE_100_length_659_cov_373.838346, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343545.1_ASM3034354v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5138_17 NODE_100_length_1324_cov_59.690058, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343565.1_ASM3034356v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4062_17 NODE_100_length_1682_cov_49.484887, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343625.1_ASM3034362v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2990_17 NODE_100_length_528_cov_379.897756, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343625.2_ASM3034362v2_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2990_17 chromosome, complete genome",8,,8,0,1
GCF_030343645.1_ASM3034364v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI196_17 NODE_100_length_1231_cov_106.056159, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343655.1_ASM3034365v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI8748_18 NODE_100_length_1340_cov_114.620775, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343685.1_ASM3034368v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI7212_16 NODE_100_length_1504_cov_37.701525, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343705.1_ASM3034370v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2226_19 NODE_100_length_1541_cov_32.910184, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343745.1_ASM3034374v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI1086_17 NODE_10_length_228018_cov_40.218183, whole genome shotgun sequence",1,,1,0,1
GCF_030343755.1_ASM3034375v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI1085_17 NODE_104_length_479_cov_64.005682, whole genome shotgun sequence",1,,1,0,1
GCF_030343825.1_ASM3034382v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6209_16 NODE_100_length_1204_cov_75.605385, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343845.1_ASM3034384v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5491_16 NODE_100_length_2674_cov_97.157440, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343865.1_ASM3034386v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5636_16 NODE_100_length_255_cov_304.789062, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343875.1_ASM3034387v1_genomic.gbff.gz,"Klebsiella grimontii strain NMI5535_16 NODE_100_length_332_cov_88.907317, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343905.1_ASM3034390v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4025_16 NODE_100_length_1566_cov_111.412092, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343925.1_ASM3034392v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2260_16 NODE_100_length_1188_cov_29.458058, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030343945.1_ASM3034394v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI723_16 NODE_100_length_1560_cov_38.764829, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344005.1_ASM3034400v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI347_16 NODE_100_length_1163_cov_88.424710, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344035.1_ASM3034403v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI601_15 NODE_100_length_585_cov_42.674672, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344065.1_ASM3034406v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI1879_15 NODE_100_length_1233_cov_121.647378, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344075.1_ASM3034407v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4566_15 NODE_100_length_1389_cov_124.145800, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344175.1_ASM3034417v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI1362_14 NODE_100_length_644_cov_68.618956, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344215.1_ASM3034421v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI626_14 NODE_100_length_951_cov_28.916262, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344265.1_ASM3034426v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4806_13 NODE_101_length_409_cov_95.503546, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344305.1_ASM3034430v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI3664_13 NODE_104_length_431_cov_48.963816, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344325.1_ASM3034432v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2978_13 NODE_100_length_342_cov_34.451163, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344345.1_ASM3034434v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI1536_13 NODE_100_length_254_cov_31.551181, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344365.1_ASM3034436v1_genomic.gbff.gz,"Klebsiella michiganensis strain NMI1752_13 NODE_109_length_550_cov_178.888889, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344405.1_ASM3034440v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI6679_12 NODE_100_length_1946_cov_131.418362, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344465.1_ASM3034446v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5820_12 NODE_100_length_270_cov_28.748252, whole genome shotgun sequence",1,,1,0,1
GCF_030344505.1_ASM3034450v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI3936_12 NODE_100_length_644_cov_91.226306, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344515.1_ASM3034451v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI3934_12 NODE_100_length_683_cov_74.899281, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344545.1_ASM3034454v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI9347_11 NODE_100_length_1018_cov_279.983165, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344565.1_ASM3034456v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5190_11 NODE_100_length_773_cov_38.229102, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344645.1_ASM3034464v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI445_11 NODE_100_length_588_cov_22.726681, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344665.1_ASM3034466v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI377_11 NODE_100_length_657_cov_78.258491, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344695.1_ASM3034469v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI5944_10 NODE_100_length_585_cov_95.336245, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344725.1_ASM3034472v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI4204_10 NODE_100_length_1256_cov_49.637733, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344735.1_ASM3034473v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI3809_10 NODE_100_length_586_cov_280.710240, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344765.1_ASM3034476v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI1674_10 NODE_100_length_818_cov_91.108538, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344785.1_ASM3034478v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI_2833_09 NODE_100_length_646_cov_165.662813, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344825.1_ASM3034482v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2092_09 NODE_100_length_494_cov_53.653951, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030344825.2_ASM3034482v2_genomic.gbff.gz,"Klebsiella oxytoca strain NMI2092_09 1, whole genome shotgun sequence",8,,8,0,1
GCF_030358065.1_ASM3035806v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM14377 NODE_100_length_21601_cov_14.022818, whole genome shotgun sequence",1,,1,0,1
GCF_030358075.1_ASM3035807v1_genomic.gbff.gz,"Klebsiella grimontii strain TUM14374 NODE_100_length_1536_cov_5.363378, whole genome shotgun sequence",1,,1,0,1
GCF_030358825.1_ASM3035882v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13847 NODE_1_length_158585_cov_13.4033, whole genome shotgun sequence",1,,1,0,1
GCF_030358865.1_ASM3035886v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13848 NODE_1_length_217875_cov_19.5866, whole genome shotgun sequence",1,,1,0,1
GCF_030358885.1_ASM3035888v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13845 NODE_1_length_195922_cov_15.188197, whole genome shotgun sequence",1,,1,0,1
GCF_030358925.1_ASM3035892v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13843 NODE_1_length_118899_cov_14.952556, whole genome shotgun sequence",1,,1,0,1
GCF_030358945.1_ASM3035894v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13844 NODE_1_length_196518_cov_14.406185, whole genome shotgun sequence",1,,1,0,1
GCF_030358965.1_ASM3035896v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13842 NODE_1_length_295812_cov_18.8891, whole genome shotgun sequence",1,,1,0,1
GCF_030358985.1_ASM3035898v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13841 NODE_1_length_266199_cov_22.657672, whole genome shotgun sequence",1,,1,0,1
GCF_030359005.1_ASM3035900v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13840 NODE_1_length_125653_cov_17.538685, whole genome shotgun sequence",1,,1,0,1
GCF_030359025.1_ASM3035902v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13838 NODE_1_length_171056_cov_15.300125, whole genome shotgun sequence",1,,1,0,1
GCF_030359045.1_ASM3035904v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13839 NODE_1_length_160715_cov_17.699785, whole genome shotgun sequence",1,,1,0,1
GCF_030359065.1_ASM3035906v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13836 NODE_1_length_224223_cov_16.547007, whole genome shotgun sequence",1,,1,0,1
GCF_030359085.1_ASM3035908v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13835 NODE_1_length_192564_cov_20.403779, whole genome shotgun sequence",1,,1,0,1
GCF_030359105.1_ASM3035910v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13832 NODE_1_length_136216_cov_15.549339, whole genome shotgun sequence",1,,1,0,1
GCF_030359125.1_ASM3035912v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13837 NODE_1_length_222680_cov_14.5966, whole genome shotgun sequence",1,,1,0,1
GCF_030359145.1_ASM3035914v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13834 NODE_1_length_253051_cov_24.3232, whole genome shotgun sequence",1,,1,0,1
GCF_030359155.1_ASM3035915v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13833 NODE_1_length_215210_cov_23.2195, whole genome shotgun sequence",1,,1,0,1
GCF_030359185.1_ASM3035918v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13830 NODE_1_length_215132_cov_21.2815, whole genome shotgun sequence",1,,1,0,1
GCF_030359205.1_ASM3035920v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13831 NODE_1_length_193185_cov_18.191916, whole genome shotgun sequence",1,,1,0,1
GCF_030359225.1_ASM3035922v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13829 NODE_1_length_223121_cov_25.1641, whole genome shotgun sequence",1,,1,0,1
GCF_030359245.1_ASM3035924v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13825 NODE_1_length_305216_cov_22.5781, whole genome shotgun sequence",1,,1,0,1
GCF_030359265.1_ASM3035926v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13828 NODE_1_length_165616_cov_22.184568, whole genome shotgun sequence",1,,1,0,1
GCF_030359285.1_ASM3035928v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13827 NODE_1_length_160210_cov_22.8334, whole genome shotgun sequence",1,,1,0,1
GCF_030359305.1_ASM3035930v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13826 NODE_1_length_143559_cov_18.3132, whole genome shotgun sequence",1,,1,0,1
GCF_030359405.1_ASM3035940v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13824 NODE_1_length_121797_cov_16.1503, whole genome shotgun sequence",1,,1,0,1
GCF_030359985.1_ASM3035998v1_genomic.gbff.gz,"Klebsiella grimontii strain TUM13776 NODE_1_length_72003_cov_7.68056, whole genome shotgun sequence",1,,1,0,1
GCF_030360065.1_ASM3036006v1_genomic.gbff.gz,"Klebsiella grimontii strain TUM13777 NODE_1_length_96728_cov_10.2543, whole genome shotgun sequence",1,,1,0,1
GCF_030360115.1_ASM3036011v1_genomic.gbff.gz,"Klebsiella grimontii strain TUM13749 NODE_1_length_76027_cov_8.410856, whole genome shotgun sequence",1,,1,0,1
GCF_030360165.1_ASM3036016v1_genomic.gbff.gz,"Klebsiella grimontii strain TUM13748 NODE_1_length_66164_cov_7.4757, whole genome shotgun sequence",1,,1,0,1
GCF_030361415.1_ASM3036141v1_genomic.gbff.gz,"Klebsiella oxytoca strain NMI588_12 NODE_1_length_354715_cov_43.076728, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030369335.1_ASM3036933v1_genomic.gbff.gz,"Klebsiella michiganensis strain TUM13905 NODE_1_length_215851_cov_14.734040, whole genome shotgun sequence",1,,1,0,1
GCF_030490325.1_ASM3049032v1_genomic.gbff.gz,Klebsiella michiganensis strain 9152 chromosome,1,,1,0,1
GCF_030490345.1_ASM3049034v1_genomic.gbff.gz,Klebsiella michiganensis strain RSM5061 chromosome,1,,1,0,1
GCF_030506015.1_ASM3050601v1_genomic.gbff.gz,Klebsiella oxytoca strain RSM6895 chromosome,1,,1,0,1
GCF_030506035.1_ASM3050603v1_genomic.gbff.gz,Klebsiella oxytoca strain RSM6774 chromosome,1,,1,0,1
GCF_030518375.1_ASM3051837v1_genomic.gbff.gz,"Klebsiella oxytoca strain RSM5033 RSM5033_scaffold_1, whole genome shotgun sequence",0,No matching 16S rRNA product criteria,0,0
GCF_030518375.2_ASM3051837v2_genomic.gbff.gz,Klebsiella oxytoca strain RSM5033 chromosome,0,No matching 16S rRNA product criteria,0,0
GCF_030542275.1_ASM3054227v1_genomic.gbff.gz,"Klebsiella michiganensis strain C818-2 NODE_100_length_265_cov_95.638298, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030542365.1_ASM3054236v1_genomic.gbff.gz,"Klebsiella michiganensis strain C289-1 NODE_100_length_770_cov_542.968254, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030542385.1_ASM3054238v1_genomic.gbff.gz,"Klebsiella michiganensis strain C118-2 NODE_100_length_1133_cov_206.298295, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030542395.1_ASM3054239v1_genomic.gbff.gz,"Klebsiella michiganensis strain C616-2 NODE_100_length_354_cov_531.140794, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030542425.1_ASM3054242v1_genomic.gbff.gz,"Klebsiella michiganensis strain M818-2 NODE_100_length_1093_cov_120.676181, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030544885.1_ASM3054488v1_genomic.gbff.gz,Klebsiella oxytoca strain RSM5034 chromosome,1,,1,0,1
GCF_030658935.1_ASM3065893v1_genomic.gbff.gz,"Klebsiella oxytoca strain KMB-1248 NODE_10_length_179066_cov_65.905877, whole genome shotgun sequence",1,,1,0,1
GCF_030717465.1_ASM3071746v1_genomic.gbff.gz,Klebsiella michiganensis strain RSM7756 chromosome,1,,1,0,1
GCF_030850045.1_ASM3085004v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2023EL-00796 NODE_10_length_242490_cov_35.091817, whole genome shotgun sequence",1,,1,0,1
GCF_030850055.1_ASM3085005v1_genomic.gbff.gz,"Klebsiella pasteurii strain 2023EL-00795 NODE_10_length_216799_cov_39.769855, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030850095.1_ASM3085009v1_genomic.gbff.gz,"Klebsiella pasteurii strain 2023EL-00797 NODE_10_length_184740_cov_45.107024, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_030850165.1_ASM3085016v1_genomic.gbff.gz,"Klebsiella pasteurii strain 2023EL-00790 NODE_10_length_185515_cov_28.106803, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
